image_path,true_label,anomaly_score,predicted_prob,predicted_label
data/raw/tank_screw/tank_screw/test/good/0000.png,0,43.829006,0.2214,0
data/raw/tank_screw/tank_screw/test/good/0001.png,0,43.530186,0.1463,0
data/raw/tank_screw/tank_screw/test/good/0002.png,0,43.57259,0.157,0
data/raw/tank_screw/tank_screw/test/good/0003.png,0,43.80645,0.2157,0
data/raw/tank_screw/tank_screw/test/good/0004.png,0,43.89275,0.2374,0
data/raw/tank_screw/tank_screw/test/good/0005.png,0,45.569855,0.6587,1
data/raw/tank_screw/tank_screw/test/good/0006.png,0,44.353504,0.3531,1
data/raw/tank_screw/tank_screw/test/good/0007.png,0,43.269001,0.0807,0
data/raw/tank_screw/tank_screw/test/good/0008.png,0,43.426537,0.1203,0
data/raw/tank_screw/tank_screw/test/good/0009.png,0,44.960644,0.5057,1
data/raw/tank_screw/tank_screw/test/good/0010.png,0,43.650665,0.1766,0
data/raw/tank_screw/tank_screw/test/good/0011.png,0,43.214119,0.0669,0
data/raw/tank_screw/tank_screw/test/good/0012.png,0,44.549526,0.4024,1
data/raw/tank_screw/tank_screw/test/good/0013.png,0,45.05098,0.5284,1
data/raw/tank_screw/tank_screw/test/good/0014.png,0,43.476204,0.1327,0
data/raw/tank_screw/tank_screw/test/good/0015.png,0,43.564228,0.1549,0
data/raw/tank_screw/tank_screw/test/good/0016.png,0,44.330788,0.3474,1
data/raw/tank_screw/tank_screw/test/good/0017.png,0,43.489208,0.136,0
data/raw/tank_screw/tank_screw/test/good/0018.png,0,45.272102,0.5839,1
data/raw/tank_screw/tank_screw/test/good/0019.png,0,44.575706,0.409,1
data/raw/tank_screw/tank_screw/test/good/0020.png,0,44.084751,0.2856,1
data/raw/tank_screw/tank_screw/test/good/0021.png,0,43.942249,0.2498,1
data/raw/tank_screw/tank_screw/test/good/0022.png,0,44.023064,0.2701,1
data/raw/tank_screw/tank_screw/test/good/0023.png,0,43.460209,0.1287,0
data/raw/tank_screw/tank_screw/test/good/0024.png,0,43.982079,0.2598,1
data/raw/tank_screw/tank_screw/test/good/0025.png,0,44.548191,0.402,1
data/raw/tank_screw/tank_screw/test/good/0026.png,0,43.448174,0.1257,0
data/raw/tank_screw/tank_screw/test/good/0027.png,0,44.542343,0.4006,1
data/raw/tank_screw/tank_screw/test/good/0028.png,0,43.255627,0.0773,0
data/raw/tank_screw/tank_screw/test/good/0029.png,0,45.195911,0.5648,1
data/raw/tank_screw/tank_screw/test/good/0030.png,0,43.25705,0.0777,0
data/raw/tank_screw/tank_screw/test/good/0031.png,0,44.029247,0.2717,1
data/raw/tank_screw/tank_screw/test/good/0032.png,0,43.796696,0.2133,0
data/raw/tank_screw/tank_screw/test/good/0033.png,0,44.494789,0.3886,1
data/raw/tank_screw/tank_screw/test/good/0034.png,0,43.416172,0.1177,0
data/raw/tank_screw/tank_screw/test/good/0035.png,0,44.261543,0.33,1
data/raw/tank_screw/tank_screw/test/good/0036.png,0,44.137482,0.2989,1
data/raw/tank_screw/tank_screw/test/good/0037.png,0,43.870316,0.2317,0
data/raw/tank_screw/tank_screw/test/good/0038.png,0,44.152599,0.3027,1
data/raw/tank_screw/tank_screw/test/good/0039.png,0,45.00198,0.516,1
data/raw/tank_screw/tank_screw/test/good/0040.png,0,43.462688,0.1293,0
data/raw/tank_screw/tank_screw/test/good/0041.png,0,44.489685,0.3873,1
data/raw/tank_screw/tank_screw/test/good/0042.png,0,43.608967,0.1661,0
data/raw/tank_screw/tank_screw/test/good/0043.png,0,44.614319,0.4187,1
data/raw/tank_screw/tank_screw/test/good/0044.png,0,44.053974,0.2779,1
data/raw/tank_screw/tank_screw/test/good/0045.png,0,45.230953,0.5736,1
data/raw/tank_screw/tank_screw/test/good/0046.png,0,44.237251,0.3239,1
data/raw/tank_screw/tank_screw/test/good/0047.png,0,43.655407,0.1778,0
data/raw/tank_screw/tank_screw/test/good/0048.png,0,45.300976,0.5912,1
data/raw/tank_screw/tank_screw/test/good/0049.png,0,46.564297,0.9085,1
data/raw/tank_screw/tank_screw/test/good/0050.png,0,44.121593,0.2949,1
data/raw/tank_screw/tank_screw/test/good/0051.png,0,43.298702,0.0882,0
data/raw/tank_screw/tank_screw/test/good/0052.png,0,44.945808,0.5019,1
data/raw/tank_screw/tank_screw/test/good/0053.png,0,44.183846,0.3105,1
data/raw/tank_screw/tank_screw/test/good/0054.png,0,43.938889,0.249,1
data/raw/tank_screw/tank_screw/test/good/0055.png,0,44.068905,0.2816,1
data/raw/tank_screw/tank_screw/test/good/0056.png,0,45.204529,0.5669,1
data/raw/tank_screw/tank_screw/test/good/0057.png,0,44.904427,0.4915,1
data/raw/tank_screw/tank_screw/test/good/0058.png,0,44.711151,0.443,1
data/raw/tank_screw/tank_screw/test/good/0059.png,0,44.284557,0.3358,1
data/raw/tank_screw/tank_screw/test/good/0060.png,0,44.429447,0.3722,1
data/raw/tank_screw/tank_screw/test/good/0061.png,0,44.256744,0.3288,1
data/raw/tank_screw/tank_screw/test/good/0062.png,0,44.066418,0.281,1
data/raw/tank_screw/tank_screw/test/good/0063.png,0,43.468258,0.1307,0
data/raw/tank_screw/tank_screw/test/good/0064.png,0,43.661617,0.1793,0
data/raw/tank_screw/tank_screw/test/good/0065.png,0,43.819267,0.2189,0
data/raw/tank_screw/tank_screw/test/good/0066.png,0,44.742283,0.4508,1
data/raw/tank_screw/tank_screw/test/good/0067.png,0,44.231796,0.3226,1
