image_path,true_label,anomaly_score,predicted_label
data/raw/tank_screw/tank_screw/test/good/0000.png,0,43.538433,0
data/raw/tank_screw/tank_screw/test/good/0001.png,0,43.474728,0
data/raw/tank_screw/tank_screw/test/good/0002.png,0,43.833557,0
data/raw/tank_screw/tank_screw/test/good/0003.png,0,44.07003,1
data/raw/tank_screw/tank_screw/test/good/0004.png,0,44.017109,1
data/raw/tank_screw/tank_screw/test/good/0005.png,0,45.493778,1
data/raw/tank_screw/tank_screw/test/good/0006.png,0,44.130383,1
data/raw/tank_screw/tank_screw/test/good/0007.png,0,43.51001,0
data/raw/tank_screw/tank_screw/test/good/0008.png,0,43.622044,0
data/raw/tank_screw/tank_screw/test/good/0009.png,0,44.876984,1
data/raw/tank_screw/tank_screw/test/good/0010.png,0,43.239483,0
data/raw/tank_screw/tank_screw/test/good/0011.png,0,43.327747,0
data/raw/tank_screw/tank_screw/test/good/0012.png,0,44.510052,1
data/raw/tank_screw/tank_screw/test/good/0013.png,0,45.022354,1
data/raw/tank_screw/tank_screw/test/good/0014.png,0,43.908844,0
data/raw/tank_screw/tank_screw/test/good/0015.png,0,43.767887,0
data/raw/tank_screw/tank_screw/test/good/0016.png,0,44.39859,1
data/raw/tank_screw/tank_screw/test/good/0017.png,0,43.801846,0
data/raw/tank_screw/tank_screw/test/good/0018.png,0,45.271675,1
data/raw/tank_screw/tank_screw/test/good/0019.png,0,44.118683,1
data/raw/tank_screw/tank_screw/test/good/0020.png,0,43.821266,0
data/raw/tank_screw/tank_screw/test/good/0021.png,0,43.586926,0
data/raw/tank_screw/tank_screw/test/good/0022.png,0,44.222008,1
data/raw/tank_screw/tank_screw/test/good/0023.png,0,43.61557,0
data/raw/tank_screw/tank_screw/test/good/0024.png,0,43.827267,0
data/raw/tank_screw/tank_screw/test/good/0025.png,0,44.458096,1
data/raw/tank_screw/tank_screw/test/good/0026.png,0,43.58363,0
data/raw/tank_screw/tank_screw/test/good/0027.png,0,44.281189,1
data/raw/tank_screw/tank_screw/test/good/0028.png,0,43.523315,0
data/raw/tank_screw/tank_screw/test/good/0029.png,0,45.183563,1
data/raw/tank_screw/tank_screw/test/good/0030.png,0,43.558155,0
data/raw/tank_screw/tank_screw/test/good/0031.png,0,43.933903,0
data/raw/tank_screw/tank_screw/test/good/0032.png,0,43.803013,0
data/raw/tank_screw/tank_screw/test/good/0033.png,0,44.244476,1
data/raw/tank_screw/tank_screw/test/good/0034.png,0,43.351879,0
data/raw/tank_screw/tank_screw/test/good/0035.png,0,43.957283,1
data/raw/tank_screw/tank_screw/test/good/0036.png,0,44.146332,1
data/raw/tank_screw/tank_screw/test/good/0037.png,0,43.66061,0
data/raw/tank_screw/tank_screw/test/good/0038.png,0,44.077736,1
data/raw/tank_screw/tank_screw/test/good/0039.png,0,45.227516,1
data/raw/tank_screw/tank_screw/test/good/0040.png,0,43.490768,0
data/raw/tank_screw/tank_screw/test/good/0041.png,0,44.240601,1
data/raw/tank_screw/tank_screw/test/good/0042.png,0,43.488434,0
data/raw/tank_screw/tank_screw/test/good/0043.png,0,44.308289,1
data/raw/tank_screw/tank_screw/test/good/0044.png,0,43.675751,0
data/raw/tank_screw/tank_screw/test/good/0045.png,0,45.520763,1
data/raw/tank_screw/tank_screw/test/good/0046.png,0,43.959408,1
data/raw/tank_screw/tank_screw/test/good/0047.png,0,43.920971,0
data/raw/tank_screw/tank_screw/test/good/0048.png,0,45.091976,1
data/raw/tank_screw/tank_screw/test/good/0049.png,0,46.304874,1
data/raw/tank_screw/tank_screw/test/good/0050.png,0,44.521126,1
data/raw/tank_screw/tank_screw/test/good/0051.png,0,43.660004,0
data/raw/tank_screw/tank_screw/test/good/0052.png,0,44.688709,1
data/raw/tank_screw/tank_screw/test/good/0053.png,0,44.291817,1
data/raw/tank_screw/tank_screw/test/good/0054.png,0,43.905273,0
data/raw/tank_screw/tank_screw/test/good/0055.png,0,44.232552,1
data/raw/tank_screw/tank_screw/test/good/0056.png,0,45.173702,1
data/raw/tank_screw/tank_screw/test/good/0057.png,0,45.180534,1
data/raw/tank_screw/tank_screw/test/good/0058.png,0,44.97369,1
data/raw/tank_screw/tank_screw/test/good/0059.png,0,44.289921,1
data/raw/tank_screw/tank_screw/test/good/0060.png,0,44.466805,1
data/raw/tank_screw/tank_screw/test/good/0061.png,0,44.341549,1
data/raw/tank_screw/tank_screw/test/good/0062.png,0,44.00116,1
data/raw/tank_screw/tank_screw/test/good/0063.png,0,43.394978,0
data/raw/tank_screw/tank_screw/test/good/0064.png,0,43.578144,0
data/raw/tank_screw/tank_screw/test/good/0065.png,0,43.811199,0
data/raw/tank_screw/tank_screw/test/good/0066.png,0,45.166245,1
data/raw/tank_screw/tank_screw/test/good/0067.png,0,44.072731,1
data/raw/tank_screw/tank_screw/test/good/0068.png,0,44.003582,1
data/raw/tank_screw/tank_screw/test/good/0069.png,0,43.859943,0
data/raw/tank_screw/tank_screw/test/good/0070.png,0,43.451279,0
data/raw/tank_screw/tank_screw/test/good/0071.png,0,43.996655,1
data/raw/tank_screw/tank_screw/test/good/0072.png,0,44.679043,1
data/raw/tank_screw/tank_screw/test/good/0073.png,0,43.620392,0
data/raw/tank_screw/tank_screw/test/good/0074.png,0,44.75082,1
data/raw/tank_screw/tank_screw/test/good/0075.png,0,43.558147,0
data/raw/tank_screw/tank_screw/test/good/0076.png,0,43.444576,0
data/raw/tank_screw/tank_screw/test/good/0077.png,0,44.167278,1
data/raw/tank_screw/tank_screw/test/good/0078.png,0,43.873169,0
data/raw/tank_screw/tank_screw/test/good/0079.png,0,43.69059,0
data/raw/tank_screw/tank_screw/test/good/0080.png,0,44.765923,1
data/raw/tank_screw/tank_screw/test/good/0081.png,0,43.508984,0
data/raw/tank_screw/tank_screw/test/good/0082.png,0,45.010597,1
data/raw/tank_screw/tank_screw/test/good/0083.png,0,44.253059,1
data/raw/tank_screw/tank_screw/test/good/0084.png,0,44.084057,1
data/raw/tank_screw/tank_screw/test/good/0085.png,0,43.987309,1
data/raw/tank_screw/tank_screw/test/good/0086.png,0,43.677589,0
data/raw/tank_screw/tank_screw/test/good/0087.png,0,43.899521,0
data/raw/tank_screw/tank_screw/test/good/0088.png,0,43.748463,0
data/raw/tank_screw/tank_screw/test/good/0089.png,0,44.288921,1
data/raw/tank_screw/tank_screw/test/good/0090.png,0,44.933834,1
data/raw/tank_screw/tank_screw/test/good/0091.png,0,44.238087,1
data/raw/tank_screw/tank_screw/test/good/0092.png,0,44.227806,1
